slug,published_date,days_since_publish,age_bucket,inbound_link_count,estimated_impression_bracket,impression_note,in_sitemap,category_v1,category_v2,recommended_action,priority
amity-online-mba-hr-worth-it,2025-03-25,428,60plus-days,0,0,Zero inbound links; poor crawlability despite age,yes,B,V2-B-ORPHAN,"URGENT: Inject 3+ inbound links immediately. Then submit URL to GSC for crawl.",1
mba-hr-career-salary-scope-2026,2026-03-26,62,60plus-days,0,0,Zero inbound links; poor crawlability despite age,yes,B,V2-B-ORPHAN,"URGENT: Inject 3+ inbound links immediately. Then submit URL to GSC for crawl.",1
symbiosis-online-mba-review-2026,2026-03-29,59,15-60-days,0,0,53+ days old with zero links; high indexation risk,yes,A,V2-A-URGENT,"URGENT: Inject 3+ inbound links now. Submit to GSC. Monitor weekly.",1
online-manipal-mba-review-2026,2026-03-29,59,15-60-days,0,0,53+ days old with zero links; high indexation risk,yes,A,V2-A-URGENT,"URGENT: Inject 3+ inbound links now. Submit to GSC. Monitor weekly.",1
distance-mba-kerala-programs-2026,2026-04-04,53,15-60-days,0,0,53+ days old with zero links; high indexation risk,yes,A,V2-A-URGENT,"URGENT: Inject 3+ inbound links now. Submit to GSC. Monitor weekly.",1
mba-vs-bba-which-is-better-2026,2026-04-04,53,15-60-days,0,0,53+ days old with zero links; high indexation risk,yes,A,V2-A-URGENT,"URGENT: Inject 3+ inbound links now. Submit to GSC. Monitor weekly.",1
mba-operations-management-career-2026,2026-04-04,53,15-60-days,0,0,53+ days old with zero links; high indexation risk,yes,A,V2-A-URGENT,"URGENT: Inject 3+ inbound links now. Submit to GSC. Monitor weekly.",1
mba-digital-marketing-career-2026,2026-04-04,53,15-60-days,0,0,53+ days old with zero links; high indexation risk,yes,A,V2-A-URGENT,"URGENT: Inject 3+ inbound links now. Submit to GSC. Monitor weekly.",1
online-mba-ahmedabad-gujarat-2026,2026-04-04,53,15-60-days,0,0,53+ days old with zero links; high indexation risk,yes,A,V2-A-URGENT,"URGENT: Inject 3+ inbound links now. Submit to GSC. Monitor weekly.",1
top-free-online-mba-courses-2026,2026-04-04,53,15-60-days,0,0,53+ days old with zero links; high indexation risk,yes,A,V2-A-URGENT,"URGENT: Inject 3+ inbound links now. Submit to GSC. Monitor weekly.",1
nmims-online-mba-review-2026,2026-04-24,33,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
mahe-online-mba-review-2026,2026-03-29,59,15-60-days,2,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
muj-online-mba-review-2026,2026-03-29,59,15-60-days,2,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
career-after-mba-jobs-salary-scope-2026,2026-04-23,34,15-60-days,6,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
mba-fees-india-complete-guide-2026,2026-04-04,53,15-60-days,3,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
iim-online-mba-india-2026,2026-04-04,53,15-60-days,2,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
career-after-12th-arts-courses-jobs-2026,2026-04-04,53,15-60-days,3,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
mba-after-bca-is-it-good-career-2026,2026-04-04,53,15-60-days,2,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
govt-jobs-after-mba-india-2026,2026-04-04,53,15-60-days,1,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
online-mba-without-entrance-exam-india-2026,2026-04-05,52,15-60-days,9,0,Published within 60 days; crawler likely not yet indexed,yes,A,V2-A-FRESH,"Submit URL to GSC/Bing for crawl. Add 2+ inbound links. Monitor indexation.",3
